country,gini,lifeex,gdp,literacy,fertility,corrupt,pop_urban,spendhealth,spendmil,sexratio,democ_status,split
Country_000,59.49476290930593,61.605948690799394,212.61938972838533,49.505470667657434,4.388489155189614,5.572303456154913,83.7721764632472,3.1775861982097946,2.972846915268518,101.25188887356776,0,train
Country_001,55.196863496359796,53.01887432401877,285.3099355183791,64.63918467997377,4.410523330802525,33.20195718834744,59.81357688674346,3.5442831641572563,2.4606564960587116,103.74844564114747,1,train
Country_002,37.69504658229663,75.65778967871691,384.19088647113546,73.13741508352801,4.431027139117294,34.692898534862,55.75664661722028,2.8284611314818626,2.2685343044487807,103.59106640021456,0,train
Country_003,37.966713986197526,66.32597178515218,241.5392759856481,57.72191537751921,2.2445046429958175,52.772037219459776,45.64034477047083,5.768831395634184,4.4017626125318445,104.22613248173201,1,train
Country_004,44.96531558110708,59.39896828732131,186.34100474989947,90.98681901541619,3.4109693057312347,35.53407836175164,60.46373227001199,8.900510272957685,2.7341907429779546,103.85160932912225,0,train
Country_005,45.90136255964662,66.68200122805185,186.8978162373432,65.15985916380684,2.7993269199502664,63.55921744127956,74.98475120811757,7.1622041626071145,2.7527047903051107,104.65542349281219,1,train
Country_006,40.464816472026776,76.5229452418663,337.55157845016106,61.12860747345926,3.9362217758449964,45.639709165621,74.57444081177141,7.739633632844398,5.212690487839794,97.81051099353559,0,train
Country_007,31.947089556563284,65.46427309642839,343.20444833373966,83.54253381674337,3.4287619366899267,16.600378115167942,57.80693981057442,6.955949285214492,2.6861136824372602,104.28603354093607,1,train
Country_008,44.72137485911713,64.89393544856001,298.3873669185941,71.75077470812384,3.5879596641521236,49.14215562453426,47.540065705664546,5.455127572641839,2.736185525189724,105.38845172373576,0,train
Country_009,53.091343039212056,70.98125133987155,278.96580598918626,60.81904388818667,3.558193224876936,54.39212123027407,57.24219486643386,5.387193713668494,1.665998987262245,104.09409610221665,1,train
Country_010,42.92297148171201,76.29606163844399,324.418997014896,74.503677848556,2.03610578511075,50.04888379505603,68.70834676644412,2.792598796384131,2.270537792795653,102.09784364008007,0,train
Country_011,32.51506143802595,72.02127513633833,425.53927771020403,57.50726088752021,3.470655174396929,29.378898597726227,61.819567361009234,2.0684552905934104,3.755701249882797,103.22670161381048,1,train
Country_012,46.30306435299377,60.298707046646726,428.8507116190532,95.10652623882102,1.1204217626638977,69.25095254815076,82.0147612972336,5.376023393148952,1.1508783611977766,104.59003595263206,0,train
Country_013,42.052637583374796,64.66863497765394,176.3930237199646,78.65806243964323,4.0013682391032175,41.77644686576375,70.20864505610056,3.0113172207537144,3.372233238245614,102.13970189527244,1,train
Country_014,45.00744182474121,65.68603301976684,380.2663388407042,76.85617459797511,3.985358389223251,49.47862177995295,58.76731691869059,5.936760523997049,2.8689934710144853,104.04765422059346,0,train
Country_015,41.01906581185552,50.02129788714289,448.6589522231297,103.20469470461387,3.5796373322822985,51.197205800897,60.3533288415595,5.06189162445038,2.4308912899600057,98.63394381375933,1,train
Country_016,42.363244336638175,58.523785378797896,305.85589936653247,61.15038271443705,3.9442535887735524,43.855343124634985,72.39502781731863,5.127067802670884,5.2188396747636805,96.31091723132673,0,train
Country_017,38.324666493960734,76.71189513318969,627.3990848167678,66.67047833426811,3.1024027918140673,48.926343634755106,82.37185668881388,4.725384273047962,3.2260838078537257,101.04059520330398,1,train
Country_018,36.31952995803205,69.00838176370746,336.3821776122391,84.99838823798392,3.2174635682992205,35.8874828531775,66.04141644928539,5.181474184475465,2.9267980925471666,101.78066188875816,0,train
Country_019,52.78270855995016,72.4559417310058,552.5590450009178,87.06585047840758,3.8408597553202526,23.70610986890737,71.43478920443444,6.140564407294119,3.383142007364267,105.13332628412178,1,train
Country_020,43.29297446568859,73.09204494760326,208.5233482777092,94.92317112513551,1.7516580001793023,15.307605912821899,32.8391810126385,2.918888831673903,1.2470615217283263,107.86823671111092,0,train
Country_021,40.88800401537453,58.75859368498051,457.72595721357504,61.60214091767612,1.5657759481503235,68.76510069768739,71.75043264867048,4.430086634089545,4.099048000289475,102.38730473913218,1,train
Country_022,59.4355967908584,70.52192705599923,463.05666487438316,67.24104044638142,1.886306723625161,91.08863568310515,49.413387480261484,4.302324274222206,1.7495217940944943,101.38981665310632,0,train
Country_023,45.441355528654356,71.11464143099204,403.32243451184314,97.2823731346335,2.9054425138537914,30.80382676196432,44.6652281023555,3.968490963601747,0.40096503085728186,104.47508947331696,1,train
Country_024,42.51429149095137,64.01212017357719,275.77302205943954,44.65069363106852,2.3164203670687495,59.144807462383504,66.8780869617944,3.8136561385987244,4.762641896950548,98.08281923232678,0,train
Country_025,40.740102318760165,67.65328205491625,-11.170200017584818,99.4629322042412,3.4895984174480703,34.19739112565975,93.16760164286167,6.471324000344765,2.9254313680263575,100.17900480539986,1,train
Country_026,47.34978179228174,54.29455747016514,371.40313133098135,59.98342521735169,3.510857835865548,68.6369875195947,61.87122166273587,5.224934890926537,2.92179916578662,99.80018518831406,0,train
Country_027,50.18803775547415,81.84687288643588,415.0566792117517,83.67363221697326,1.9972621772981745,37.37982998828734,40.7868596356224,7.764506141656872,2.104984158871158,106.19953182744295,1,train
Country_028,40.244706538505596,62.999928137371356,287.45101046295093,79.42175102989266,3.422900234959408,50.8002455901389,57.84791350958424,5.054375440551921,1.2502359785383066,102.24278130291984,0,train
Country_029,42.00736805190827,69.04540415291322,383.08038671239785,60.189827884866716,2.9485903671144444,47.64748611007693,68.65953007462294,6.869541302031179,1.2634896851515731,103.75773129330784,1,train
Country_030,63.026266561750674,54.730744593339,176.37937256218635,52.39133600233743,3.0150827341480517,76.21128354717202,57.80029014520765,3.310612809425548,3.336164205166687,100.20058640678745,0,train
Country_031,52.487297296175484,71.94213632195209,490.65352756443224,60.47983635270472,6.687028534846437,67.84252325060223,72.2187022888005,5.197623104784672,1.539283457038687,99.39669396712922,1,train
Country_032,45.41218139119528,60.12184171605496,309.9210854698104,53.20853852229019,4.09529924100681,64.21019067424453,47.01239238896574,7.085372135509387,2.304469677097381,105.46586365826468,0,train
Country_033,47.0053307783299,78.47862657325673,204.3576245364381,68.79809019831163,4.791715112709123,41.87533674173158,31.841981614788075,1.4148216370470887,-0.5977287832112732,95.65750823424952,1,train
Country_034,43.20688669449214,76.72822466273378,222.93248645841925,70.45291030402147,3.218010211803672,47.15388101784844,55.07701740382926,4.351639311384019,3.143396919972421,98.47205198567606,0,train
Country_035,51.581017418677796,76.8601434659821,300.59311909489185,82.48090136348273,2.2083866884913883,43.329985570243906,64.74395775405125,4.919557949830277,1.8715143607940528,99.9826558836402,1,train
Country_036,42.04004222571165,74.0133499535719,42.80119131979765,70.88741546553999,3.066275657824416,60.10064299999368,65.32610420459048,-0.8650689353058452,3.2915759325729113,102.97282273034526,0,train
